investigation,ion,16217.39,13163,3,0.8887
primary,y,747.87,14792,1,0.0729
election,ion,16217.39,13163,3,0.8887
evidence,e,4205.26,35076,1,0.1730
irregularities,s,10528.68,55501,1,0.2737
place,e,4205.26,35076,1,0.1730
jury,y,747.87,14792,1,0.0729
presentments,s,10528.68,55501,1,0.2737
charge,e,4205.26,35076,1,0.1730
election,ion,16217.39,13163,3,0.8887
praise,e,4205.26,35076,1,0.1730
thanks,s,10528.68,55501,1,0.2737
manner,er,5859.44,8663,2,0.6157
election,ion,16217.39,13163,3,0.8887
term,rm,170.71,869,2,0.1788
jury,y,747.87,14792,1,0.0729
reports,s,10528.68,55501,1,0.2737
irregularities,s,10528.68,55501,1,0.2737
primary,y,747.87,14792,1,0.0729
handful,l,137.39,6340,1,0.0313
reports,s,10528.68,55501,1,0.2737
jury,y,747.87,14792,1,0.0729
interest,t,1262.77,19221,1,0.0948
election,ion,16217.39,13163,3,0.8887
number,er,5859.44,8663,2,0.6157
voters,s,10528.68,55501,1,0.2737
size,e,4205.26,35076,1,0.1730
city,ity,3572.19,3579,3,0.7200
jury,y,747.87,14792,1,0.0729
registration,ion,16217.39,13163,3,0.8887
election,ion,16217.39,13163,3,0.8887
laws,s,10528.68,55501,1,0.2737
legislators,s,10528.68,55501,1,0.2737
laws,s,10528.68,55501,1,0.2737
end,nd,1183.50,3031,2,0.3554
jury,y,747.87,14792,1,0.0729
number,er,5859.44,8663,2,0.6157
topics,s,10528.68,55501,1,0.2737
departments,s,10528.68,55501,1,0.2737
practices,s,10528.68,55501,1,0.2737
interest,t,1262.77,19221,1,0.0948
governments,s,10528.68,55501,1,0.2737
jury,y,747.87,14792,1,0.0729
offices,s,10528.68,55501,1,0.2737
efficiency,y,747.87,14792,1,0.0729
cost,t,1262.77,19221,1,0.0948
administration,ion,16217.39,13163,3,0.8887
jury,y,747.87,14792,1,0.0729
personnel,el,163.38,971,2,0.1532
result,t,1262.77,19221,1,0.0948
city,ity,3572.19,3579,3,0.7200
personnel,el,163.38,971,2,0.1532
policies,s,10528.68,55501,1,0.2737
city,ity,3572.19,3579,3,0.7200
steps,s,10528.68,55501,1,0.2737
problem,problem,642.55,309,7,1.0000
Implementation,ion,16217.39,13163,3,0.8887
automobile,e,4205.26,35076,1,0.1730
title,e,4205.26,35076,1,0.1730
law,law,319.96,283,3,0.8156
jury,y,747.87,14792,1,0.0729
funds,s,10528.68,55501,1,0.2737
date,e,4205.26,35076,1,0.1730
implementation,ion,16217.39,13163,3,0.8887
law,law,319.96,283,3,0.8156
jury,y,747.87,14792,1,0.0729
swipe,e,4205.26,35076,1,0.1730
handling,ing,5195.71,3869,3,0.9687
funds,s,10528.68,55501,1,0.2737
child,child,376.27,210,5,1.0000
welfare,e,4205.26,35076,1,0.1730
services,s,10528.68,55501,1,0.2737
homes,s,10528.68,55501,1,0.2737
items,s,10528.68,55501,1,0.2737
assistance,e,4205.26,35076,1,0.1730
program,program,746.61,363,7,0.9891
jury,y,747.87,14792,1,0.0729
funds,s,10528.68,55501,1,0.2737
welfare,e,4205.26,35076,1,0.1730
departments,s,10528.68,55501,1,0.2737
counties,s,10528.68,55501,1,0.2737
state,e,4205.26,35076,1,0.1730
exception,ion,16217.39,13163,3,0.8887
money,y,747.87,14792,1,0.0729
jurors,s,10528.68,55501,1,0.2737
distribution,ion,16217.39,13163,3,0.8887
funds,s,10528.68,55501,1,0.2737
program,program,746.61,363,7,0.9891
counties,s,10528.68,55501,1,0.2737
future,e,4205.26,35076,1,0.1730
portion,ion,16217.39,13163,3,0.8887
funds,s,10528.68,55501,1,0.2737
jurors,s,10528.68,55501,1,0.2737
Failure,e,4205.26,35076,1,0.1730
burden,n,1649.35,21967,1,0.1083
taxpayers,s,10528.68,55501,1,0.2737
jury,y,747.87,14792,1,0.0729
court,t,1262.77,19221,1,0.0948
