Sentence,Quad-Add-One,Quad-Add-K,p_quad_token_type
उसे  तत्काल  ट्रेन  के  शौचालय  में  बंद  कर  दिया  गया  और  रायगंज  स्टेशन  पर  उसे  उतार  कर  सीधे  अपने  घर  ले  गई ।,8.387938973671509e-160,3.369631321849518e-154,2.2941401982447928e-187
ऐसे  ही  एक  कार्यक्रम  का  एक  वीडियो  सोशल  मीडिया  में  सामने  आया  है ।,7.309069701519152e-84,1.1045847372559394e-79,2.243515936342585e-117
आरबीजीडी  की  टीम  ने  टास  जीत  कर  पहले  खेलते  हुए  निर्धारित  20 ओवर  में  174 रन  का  लक्ष्य  रखा ।,3.055774914960998e-142,6.488954067751107e-137,4.9028509754770076e-164
इससे  आम  आदमी  की  गाढ़ी  कमाई  को  फर्जी  और  योग्य  कंपनियों  के  नाम  पर  लुटाया  जा  रहा  है ।,8.09931897924082e-131,2.4421928283352675e-126,2.9479754987519403e-156
विधि  शिक्षा  एवं  विधि  सहायता  केन्द्र  सेंटर  ऑफ  लीगल  एजुकेशन  एण्ड  लीगल  एड  क्लिनिक  द्वारा  विधिक  जागरूकता  में  प्रेस - मीडिया  की  भूमिका  पर  विचार  विमर्श  करने  के  लिए  एक  दिवसीय  कार्यशाला  का  आयोजन  किया  गया ।,4.390222382647121e-253,1.7390573964304586e-244,3.077244951787913e-296
गैंजेज  क्लब  में  मना  जश्न  गैंजेज  क्लब  में  लोहड़ी  सेलेब्रेशन  एंड  म्यूजिकल  नाइट  का  आयोजन  किया  गया ।,2.192682374459875e-129,1.794227098512107e-125,1.7554585460610397e-148
बबीता  खोसला  तथा  डा .,2.7888881028996645e-42,5.578880657121062e-41,2.1884073605747803e-47
सीएम  उद्धव  ठाकरे  ने  कहा  कि  15 दिन  तक  केवल  जरूरी  सेवाएं  जारी  रहेंगी ।,1.4400335448963157e-101,2.231376811294016e-97,3.7473897737882223e-125
"जो  मरीज  होश  में  दिखे , आसपास  का  हाल  देखकर  उनके  होश  उडे  हुए  हैं ।",1.6573828977218135e-136,7.53905389310353e-134,8.015739452076362e-150
"रायपुर , ब्यूरो  छत्तीसगढ़) ।",1.2184204827673276e-57,4.8692422528217865e-57,2.7974730214939e-64
आयुसीमा  न्यूनतम  21 और  अधिकतम  30 वर्ष ।,1.1675546024951951e-64,1.3877918308848031e-62,1.023741915718604e-70
"पूर्ण  मैराथन  के  विजेताओं  को  दो - दो  लाख  रुपए , दूसरे  स्थान  को  एक  एक  लाख  रुपए  और  तीसरे  स्थान  को  50 - 50 हजार  रुपए  की  पुरस्कार  राशि  दी  जाएगी ।",8.867054810090655e-246,3.317515660361035e-238,5.020013762350343e-282
वशिष्ठ  नारायण  सिंह  बचपन  से  ही  होनहार  व  विलक्षण  प्रतिभा  के  धनी  थे ।,2.513381104428403e-102,1.3684143741304344e-98,2.240367266278499e-117
यूट्यूब  पर  वीडियो  अगस्त  2019 से  मौजूद  है ।,1.933075313651767e-66,4.162066701228909e-64,1.712242699475567e-78
"कार्यवाही  खत्म  होने  के  बाद  बाहर  जाते  समय  आसाराम  ने  कॉन्सटेबल  से  कहा  कि  ' खाएंगे , पिएंगे  और  जेल  में  मौज  करेंगे . '",1.3369660221173976e-203,4.974510110887206e-199,8.200029417241463e-220
इसके  बाद  उन्हें  तत्काल  नजदीक  के  एक  अस्पताल  में  ले  जाया  गया ।,5.344750457939881e-78,2.9723044872382652e-74,1.346413860204521e-109
