Sentence,Add-One,Add-K,Token-Type
उसे  तत्काल  ट्रेन  के  शौचालय  में  बंद  कर  दिया  गया  और  रायगंज  स्टेशन  पर  उसे  उतार  कर  सीधे  अपने  घर  ले  गई ।,1.0000000000000227e-288,1.0000000000000227e-288,1.0000000000000227e-288
ऐसे  ही  एक  कार्यक्रम  का  एक  वीडियो  सोशल  मीडिया  में  सामने  आया  है ।,1.0000000000000141e-180,1.0000000000000141e-180,1.0000000000000141e-180
आरबीजीडी  की  टीम  ने  टास  जीत  कर  पहले  खेलते  हुए  निर्धारित  20 ओवर  में  174 रन  का  लक्ष्य  रखा ।,1.0000000000000199e-252,1.0000000000000199e-252,1.0000000000000199e-252
इससे  आम  आदमी  की  गाढ़ी  कमाई  को  फर्जी  और  योग्य  कंपनियों  के  नाम  पर  लुटाया  जा  रहा  है ।,1.000000000000019e-240,1.000000000000019e-240,1.000000000000019e-240
विधि  शिक्षा  एवं  विधि  सहायता  केन्द्र  सेंटर  ऑफ  लीगल  एजुकेशन  एण्ड  लीगल  एड  क्लिनिक  द्वारा  विधिक  जागरूकता  में  प्रेस - मीडिया  की  भूमिका  पर  विचार  विमर्श  करने  के  लिए  एक  दिवसीय  कार्यशाला  का  आयोजन  किया  गया ।,0.0,0.0,0.0
गैंजेज  क्लब  में  मना  जश्न  गैंजेज  क्लब  में  लोहड़ी  सेलेब्रेशन  एंड  म्यूजिकल  नाइट  का  आयोजन  किया  गया ।,1.000000000000018e-228,1.000000000000018e-228,1.000000000000018e-228
बबीता  खोसला  तथा  डा .,1.0000000000000057e-72,1.0000000000000057e-72,1.0000000000000057e-72
सीएम  उद्धव  ठाकरे  ने  कहा  कि  15 दिन  तक  केवल  जरूरी  सेवाएं  जारी  रहेंगी ।,1.000000000000015e-192,1.000000000000015e-192,1.000000000000015e-192
"जो  मरीज  होश  में  दिखे , आसपास  का  हाल  देखकर  उनके  होश  उडे  हुए  हैं ।",1.0000000000000161e-204,1.0000000000000161e-204,1.0000000000000161e-204
"रायपुर , ब्यूरो  छत्तीसगढ़) ।",1.0000000000000057e-72,1.0000000000000057e-72,1.0000000000000057e-72
आयुसीमा  न्यूनतम  21 और  अधिकतम  30 वर्ष ।,1.0000000000000085e-108,1.0000000000000085e-108,1.0000000000000085e-108
"पूर्ण  मैराथन  के  विजेताओं  को  दो - दो  लाख  रुपए , दूसरे  स्थान  को  एक  एक  लाख  रुपए  और  तीसरे  स्थान  को  50 - 50 हजार  रुपए  की  पुरस्कार  राशि  दी  जाएगी ।",0.0,0.0,0.0
वशिष्ठ  नारायण  सिंह  बचपन  से  ही  होनहार  व  विलक्षण  प्रतिभा  के  धनी  थे ।,1.0000000000000141e-180,1.0000000000000141e-180,1.0000000000000141e-180
यूट्यूब  पर  वीडियो  अगस्त  2019 से  मौजूद  है ।,1.0000000000000094e-120,1.0000000000000094e-120,1.0000000000000094e-120
"कार्यवाही  खत्म  होने  के  बाद  बाहर  जाते  समय  आसाराम  ने  कॉन्सटेबल  से  कहा  कि  ' खाएंगे , पिएंगे  और  जेल  में  मौज  करेंगे . '",1e-312,1e-312,1e-312
इसके  बाद  उन्हें  तत्काल  नजदीक  के  एक  अस्पताल  में  ले  जाया  गया ।,1.0000000000000132e-168,1.0000000000000132e-168,1.0000000000000132e-168
