Sentence,Add-One,Add-K,Token-Type 
उसे  तत्काल  ट्रेन  के  शौचालय  में  बंद  कर  दिया  गया  और  रायगंज  स्टेशन  पर  उसे  उतार  कर  सीधे  अपने  घर  ले  गई ।,5.108519487825881e-73,3.743679580159118e-68,4.756580022725191e-146
ऐसे  ही  एक  कार्यक्रम  का  एक  वीडियो  सोशल  मीडिया  में  सामने  आया  है ।,5.8966340543381526e-30,4.15497376552219e-27,8.973591885790136e-91
आरबीजीडी  की  टीम  ने  टास  जीत  कर  पहले  खेलते  हुए  निर्धारित  20 ओवर  में  174 रन  का  लक्ष्य  रखा ।,2.4692185802893143e-71,5.484178904174621e-67,6.861253679605174e-128
इससे  आम  आदमी  की  गाढ़ी  कमाई  को  फर्जी  और  योग्य  कंपनियों  के  नाम  पर  लुटाया  जा  रहा  है ।,1.5305442044012538e-61,7.968935872696351e-58,3.853504930509767e-121
विधि  शिक्षा  एवं  विधि  सहायता  केन्द्र  सेंटर  ऑफ  लीगल  एजुकेशन  एण्ड  लीगल  एड  क्लिनिक  द्वारा  विधिक  जागरूकता  में  प्रेस - मीडिया  की  भूमिका  पर  विचार  विमर्श  करने  के  लिए  एक  दिवसीय  कार्यशाला  का  आयोजन  किया  गया ।,4.295161223466033e-137,8.160859901378498e-129,4.408617040590838e-231
गैंजेज  क्लब  में  मना  जश्न  गैंजेज  क्लब  में  लोहड़ी  सेलेब्रेशन  एंड  म्यूजिकल  नाइट  का  आयोजन  किया  गया ।,3.554876935489762e-76,1.656349807632451e-72,1.4597617377126642e-115
बबीता  खोसला  तथा  डा .,1.7167714373082074e-22,3.3398853165821538e-21,6.8321869063980625e-37
सीएम  उद्धव  ठाकरे  ने  कहा  कि  15 दिन  तक  केवल  जरूरी  सेवाएं  जारी  रहेंगी ।,2.8215717789602294e-45,1.44759130176121e-41,3.2159098461976823e-97
"जो  मरीज  होश  में  दिखे , आसपास  का  हाल  देखकर  उनके  होश  उडे  हुए  हैं ।",9.802169577207246e-76,9.620512557782503e-73,4.52772593498444e-115
"रायपुर , ब्यूरो  छत्तीसगढ़) ।",1.1647252758782146e-33,9.918686206946331e-33,2.938927341728278e-48
आयुसीमा  न्यूनतम  21 और  अधिकतम  30 वर्ष ।,5.576635214875754e-34,7.246111443166058e-32,9.48704917730168e-55
"पूर्ण  मैराथन  के  विजेताओं  को  दो - दो  लाख  रुपए , दूसरे  स्थान  को  एक  एक  लाख  रुपए  और  तीसरे  स्थान  को  50 - 50 हजार  रुपए  की  पुरस्कार  राशि  दी  जाएगी ।",3.494727054074708e-117,1.5870710063192993e-110,6.311453573663033e-219
वशिष्ठ  नारायण  सिंह  बचपन  से  ही  होनहार  व  विलक्षण  प्रतिभा  के  धनी  थे ।,1.0363484477264341e-53,1.8437783953311478e-50,3.006686316932071e-91
यूट्यूब  पर  वीडियो  अगस्त  2019 से  मौजूद  है ।,4.973688118042138e-29,4.1742807716497915e-27,2.321848323460335e-60
"कार्यवाही  खत्म  होने  के  बाद  बाहर  जाते  समय  आसाराम  ने  कॉन्सटेबल  से  कहा  कि  ' खाएंगे , पिएंगे  और  जेल  में  मौज  करेंगे . '",5.517626659610204e-110,1.5095731409567082e-105,9.004916264371485e-171
इसके  बाद  उन्हें  तत्काल  नजदीक  के  एक  अस्पताल  में  ले  जाया  गया ।,3.357965932784851e-33,1.755694655065047e-30,5.174358663195076e-85
वीडियो  में  प्रत्याशी  विरोधियों  और  पुलिस  को  धमकाते  हुए  दिखाई  पड़  रहे  हैं ।,3.7564686668078033e-44,2.671316347198493e-41,5.460882275914548e-91
निकटतम  प्रतिद्वंद्वी  की  पार्टी  सीपीआई - एम  थी .,2.4840416131404784e-37,3.308644932412326e-35,2.8303441112801237e-61
व्रत  वाले  श्रद्धालुओं  के  लिए  फलाहार  व  अन्य  भक्तों  के  लिए  भंडारे  का  आयोजन  भी  किया  गया  है ।,1.9468564705758743e-56,7.9106286402604605e-53,1.1978119668386692e-120
इसके  अलावा  इसमें  राइड  मोड  भी  दिया  गया  है ।,1.0822213743267321e-26,1.3047171839933777e-24,3.064091942314817e-66
"इससे  पहले  सिर्फ  Continue reading जिंदगी  वापस  लौटी  पटरी  पर , जानिए  कैसे  मिलेगा  टिकट  और  क्या  होगा  किराया” पूर्व  प्रधानमंत्री  डॉ .",1.4978114542319252e-107,1.9680389057116464e-102,2.1125437434593816e-158
मौनी  की  ड्रेसेज  फैंस  को  खूब  पसंद  आती  हैं  और  जब  भी  मौनी  ऐसी  ड्रेसेज  पहनकर  सोशल  मीडिया  में  अपनी  फोटो  पोस्ट  करती  हैं  तो  लाइक्स  और  कमेंट्स  की  झड़ी  लग  जाती  है ।,9.429876873118487e-124,9.514545507480586e-117,1.038326573369749e-212
