investigation,in,3186.16,4317,2,0.6718
primary,pr,1651.62,5408,2,0.2780
election,ele,509.86,439,3,0.8378
evidence,evidence,448.23,204,8,1.0000
irregularities,i,141.14,6426,1,0.0317
place,pla,2111.36,1754,3,0.8683
jury,ju,173.17,436,2,0.3615
presentments,pr,1651.62,5408,2,0.2780
charge,c,1485.46,20847,1,0.1028
election,ele,509.86,439,3,0.8378
praise,pr,1651.62,5408,2,0.2780
thanks,t,480.78,11860,1,0.0585
manner,ma,1471.28,4133,2,0.3240
election,ele,509.86,439,3,0.8378
term,t,480.78,11860,1,0.0585
jury,ju,173.17,436,2,0.3615
reports,re,3892.93,6004,2,0.5902
irregularities,i,141.14,6426,1,0.0317
primary,pr,1651.62,5408,2,0.2780
handful,hand,1276.67,807,4,0.9829
reports,re,3892.93,6004,2,0.5902
jury,ju,173.17,436,2,0.3615
interest,in,3186.16,4317,2,0.6718
election,ele,509.86,439,3,0.8378
number,number,1132.52,582,6,1.0000
voters,vo,153.84,645,2,0.2171
size,s,1671.65,22115,1,0.1091
city,c,1485.46,20847,1,0.1028
jury,ju,173.17,436,2,0.3615
registration,re,3892.93,6004,2,0.5902
election,ele,509.86,439,3,0.8378
laws,la,384.05,1605,2,0.2178
legislators,le,379.75,1596,2,0.2166
laws,la,384.05,1605,2,0.2178
end,en,246.86,1366,2,0.1645
jury,ju,173.17,436,2,0.3615
number,number,1132.52,582,6,1.0000
topics,t,480.78,11860,1,0.0585
departments,de,1405.16,3728,2,0.3431
practices,pr,1651.62,5408,2,0.2780
interest,in,3186.16,4317,2,0.6718
governments,government,767.33,320,10,1.0000
jury,ju,173.17,436,2,0.3615
offices,offic,906.63,507,5,0.9980
efficiency,eff,949.61,685,3,1.0000
cost,co,4975.83,9717,2,0.4661
administration,a,424.71,11147,1,0.0550
jury,ju,173.17,436,2,0.3615
personnel,p,1293.57,19454,1,0.0959
result,re,3892.93,6004,2,0.5902
city,c,1485.46,20847,1,0.1028
personnel,p,1293.57,19454,1,0.0959
policies,p,1293.57,19454,1,0.0959
city,c,1485.46,20847,1,0.1028
steps,s,1671.65,22115,1,0.1091
problem,pro,3070.59,3461,3,0.6400
Implementation,I,0.04,112,1,0.0006
automobile,a,424.71,11147,1,0.0550
title,t,480.78,11860,1,0.0585
law,la,384.05,1605,2,0.2178
jury,ju,173.17,436,2,0.3615
funds,f,367.70,10372,1,0.0511
date,d,403.56,10866,1,0.0536
implementation,imp,401.99,490,3,0.5918
law,la,384.05,1605,2,0.2178
jury,ju,173.17,436,2,0.3615
swipe,s,1671.65,22115,1,0.1091
handling,hand,1276.67,807,4,0.9829
funds,f,367.70,10372,1,0.0511
child,c,1485.46,20847,1,0.1028
welfare,w,233.71,8269,1,0.0408
services,s,1671.65,22115,1,0.1091
homes,ho,866.22,2324,2,0.3393
items,item,204.40,127,4,1.0000
assistance,ass,527.21,524,3,0.7258
program,pro,3070.59,3461,3,0.6400
jury,ju,173.17,436,2,0.3615
funds,f,367.70,10372,1,0.0511
welfare,w,233.71,8269,1,0.0408
departments,de,1405.16,3728,2,0.3431
counties,co,4975.83,9717,2,0.4661
state,s,1671.65,22115,1,0.1091
exception,ex,659.09,2232,2,0.2688
money,mo,661.36,2771,2,0.2172
jurors,ju,173.17,436,2,0.3615
distribution,dis,876.95,1357,3,0.4662
funds,f,367.70,10372,1,0.0511
program,pro,3070.59,3461,3,0.6400
counties,co,4975.83,9717,2,0.4661
future,f,367.70,10372,1,0.0511
portion,p,1293.57,19454,1,0.0959
funds,f,367.70,10372,1,0.0511
jurors,ju,173.17,436,2,0.3615
Failure,Fa,11.25,38,2,0.2695
burden,b,293.02,9259,1,0.0457
taxpayers,t,480.78,11860,1,0.0585
jury,ju,173.17,436,2,0.3615
court,co,4975.83,9717,2,0.4661
fire,f,367.70,10372,1,0.0511
practices,pr,1651.62,5408,2,0.2780
appointment,app,736.65,652,3,0.8150
appraisers,app,736.65,652,3,0.8150
guardians,guar,107.86,68,4,0.9855
administrators,a,424.71,11147,1,0.0550
awarding,a,424.71,11147,1,0.0550
fees,fee,416.24,599,3,0.5013
compensation,co,4975.83,9717,2,0.4661
jury,ju,173.17,436,2,0.3615
court,co,4975.83,9717,2,0.4661
procedures,pro,3070.59,3461,3,0.6400
recommendations,re,3892.93,6004,2,0.5902
juries,ju,173.17,436,2,0.3615
interim,in,3186.16,4317,2,0.6718
citizens,c,1485.46,20847,1,0.1028
committee,co,4975.83,9717,2,0.4661
actions,acti,750.67,602,4,0.7748
fact,fac,866.47,1337,3,0.4675
effect,eff,949.61,685,3,1.0000
wards,wa,1046.08,2806,2,0.3393
costs,co,4975.83,9717,2,0.4661
servants,s,1671.65,22115,1,0.1091
criticisms,c,1485.46,20847,1,0.1028
jury,ju,173.17,436,2,0.3615
airport,a,424.71,11147,1,0.0550
jury,ju,173.17,436,2,0.3615
management,ma,1471.28,4133,2,0.3240
charge,c,1485.46,20847,1,0.1028
airport,a,424.71,11147,1,0.0550
manner,ma,1471.28,4133,2,0.3240
influences,in,3186.16,4317,2,0.6718
jury,ju,173.17,436,2,0.3615
surveillance,s,1671.65,22115,1,0.1091
practices,pr,1651.62,5408,2,0.2780
concessionaires,co,4975.83,9717,2,0.4661
purpose,p,1293.57,19454,1,0.0959
prices,pr,1651.62,5408,2,0.2780
matters,ma,1471.28,4133,2,0.3240
jury,ju,173.17,436,2,0.3615
deputies,de,1405.16,3728,2,0.3431
doctor,d,403.56,10866,1,0.0536
intern,in,3186.16,4317,2,0.6718
extern,ex,659.09,2232,2,0.2688
night,night,815.25,455,5,1.0000
weekend,week,690.68,437,4,0.9820
duty,d,403.56,10866,1,0.0536
jail,ja,41.72,214,2,0.1774
legislators,le,379.75,1596,2,0.2166
city,c,1485.46,20847,1,0.1028
officials,offic,906.63,507,5,0.9980
legislation,le,379.75,1596,2,0.2166
establishment,e,235.69,8304,1,0.0409
pension,p,1293.57,19454,1,0.0959
plan,pla,2111.36,1754,3,0.8683
city,c,1485.46,20847,1,0.1028
employes,employ,354.16,182,6,1.0000
jury,ju,173.17,436,2,0.3615
administration,a,424.71,11147,1,0.0550
operation,opera,510.87,291,5,0.9798
prison,pr,1651.62,5408,2,0.2780
farms,fa,866.39,2860,2,0.2757
suit,s,1671.65,22115,1,0.1091
divorce,di,856.76,2911,2,0.2679
wife,wife,365.34,227,4,1.0000
petition,p,1293.57,19454,1,0.0959
cruelty,c,1485.46,20847,1,0.1028
couple,co,4975.83,9717,2,0.4661
son,s,1671.65,22115,1,0.1091
daughter,d,403.56,10866,1,0.0536
Attorneys,A,0.12,189,1,0.0009
mayor,ma,1471.28,4133,2,0.3240
property,pro,3070.59,3461,3,0.6400
settlement,s,1671.65,22115,1,0.1091
petition,p,1293.57,19454,1,0.0959
occupation,occ,178.03,165,3,0.7783
attorney,att,721.93,670,3,0.7773
age,age,444.21,445,3,0.7201
age,age,444.21,445,3,0.7201
place,pla,2111.36,1754,3,0.8683
birth,b,293.02,9259,1,0.0457
petition,p,1293.57,19454,1,0.0959
couple,co,4975.83,9717,2,0.4661
man,ma,1471.28,4133,2,0.3240
wife,wife,365.34,227,4,1.0000
year,year,2550.98,1590,4,0.9969
petition,p,1293.57,19454,1,0.0959
attorney,att,721.93,670,3,0.7773
mayor,ma,1471.28,4133,2,0.3240
exception,ex,659.09,2232,2,0.2688
interlude,in,3186.16,4317,2,0.6718
career,c,1485.46,20847,1,0.1028
election,ele,509.86,439,3,0.8378
city,c,1485.46,20847,1,0.1028
council,co,4975.83,9717,2,0.4661
term,t,480.78,11860,1,0.0585
office,offic,906.63,507,5,0.9980
candidate,c,1485.46,20847,1,0.1028
primary,pr,1651.62,5408,2,0.2780
reelection,re,3892.93,6004,2,0.5902
encouragement,en,246.86,1366,2,0.1645
candidate,c,1485.46,20847,1,0.1028
race,r,353.73,10173,1,0.0502
official,offic,906.63,507,5,0.9980
state,s,1671.65,22115,1,0.1091
GOP,G,0.02,70,1,0.0003
chairman,c,1485.46,20847,1,0.1028
meeting,me,842.21,3127,2,0.2452
night,night,815.25,455,5,1.0000
responses,re,3892.93,6004,2,0.5902
audience,a,424.71,11147,1,0.0550
enthusiasm,en,246.86,1366,2,0.1645
state,s,1671.65,22115,1,0.1091
rally,r,353.73,10173,1,0.0502
speaker,s,1671.65,22115,1,0.1091
meeting,me,842.21,3127,2,0.2452
audience,a,424.71,11147,1,0.0550
candidate,c,1485.46,20847,1,0.1028
governor,govern,719.99,370,6,1.0000
petitions,p,1293.57,19454,1,0.0959
precincts,pr,1651.62,5408,2,0.2780
signatures,s,1671.65,22115,1,0.1091
voters,vo,153.84,645,2,0.2171
vote,vo,153.84,645,2,0.2171
candidate,c,1485.46,20847,1,0.1028
crowd,c,1485.46,20847,1,0.1028
term,t,480.78,11860,1,0.0585
race,r,353.73,10173,1,0.0502
dissents,dis,876.95,1357,3,0.4662
hurdle,h,160.38,6850,1,0.0338
state,s,1671.65,22115,1,0.1091
law,la,384.05,1605,2,0.2178
race,r,353.73,10173,1,0.0502
courses,co,4975.83,9717,2,0.4661
cent,c,1485.46,20847,1,0.1028
voters,vo,153.84,645,2,0.2171
county,co,4975.83,9717,2,0.4661
petitions,p,1293.57,19454,1,0.0959
names,name,553.65,345,4,0.9971
candidates,c,1485.46,20847,1,0.1028
election,ele,509.86,439,3,0.8378
ballot,ba,506.46,2066,2,0.2231
primary,pr,1651.62,5408,2,0.2780
county,co,4975.83,9717,2,0.4661
unit,uni,569.11,599,3,0.6854
system,s,1671.65,22115,1,0.1091
system,s,1671.65,22115,1,0.1091
party,p,1293.57,19454,1,0.0959
platform,pla,2111.36,1754,3,0.8683
relations,re,3892.93,6004,2,0.5902
director,di,856.76,2911,2,0.2679
campaign,c,1485.46,20847,1,0.1028
resignation,re,3892.93,6004,2,0.5902
time,time,2865.93,1816,4,0.9806
assistant,ass,527.21,524,3,0.7258
years,year,2550.98,1590,4,0.9969
campaign,c,1485.46,20847,1,0.1028
campaign,c,1485.46,20847,1,0.1028
coordinator,co,4975.83,9717,2,0.4661
session,s,1671.65,22115,1,0.1091
highway,h,160.38,6850,1,0.0338
bond,bo,588.47,2227,2,0.2405
money,mo,661.36,2771,2,0.2172
adjournment,a,424.71,11147,1,0.0550
afternoon,a,424.71,11147,1,0.0550
study,s,1671.65,22115,1,0.1091
number,number,1132.52,582,6,1.0000
legislators,le,379.75,1596,2,0.2166
areas,area,871.05,552,4,0.9805
adjustments,a,424.71,11147,1,0.0550
visit,vi,330.22,945,2,0.3181
chambers,c,1485.46,20847,1,0.1028
adjournment,a,424.71,11147,1,0.0550
$100,$1,58.92,167,2,0.3212
highway,h,160.38,6850,1,0.0338
bond,bo,588.47,2227,2,0.2405
issue,issue,328.34,190,5,0.9645
session,s,1671.65,22115,1,0.1091
priority,pr,1651.62,5408,2,0.2780
item,item,204.40,127,4,1.0000
$30,$3,5.93,53,2,0.1019
worth,wor,2330.89,2135,3,0.7875
highway,h,160.38,6850,1,0.0338
reconstruction,re,3892.93,6004,2,0.5902
bonds,bo,588.47,2227,2,0.2405
bond,bo,588.47,2227,2,0.2405
issue,issue,328.34,190,5,0.9645
state,s,1671.65,22115,1,0.1091
courts,co,4975.83,9717,2,0.4661
test,t,480.78,11860,1,0.0585
suit,s,1671.65,22115,1,0.1091
validity,val,365.82,468,3,0.5639
act,act,556.11,777,3,0.5163
sales,s,1671.65,22115,1,0.1091
contracts,co,4975.83,9717,2,0.4661
repair,re,3892.93,6004,2,0.5902
work,wor,2330.89,2135,3,0.7875
highways,h,160.38,6850,1,0.0338
source,s,1671.65,22115,1,0.1091
plan,pla,2111.36,1754,3,0.8683
worth,wor,2330.89,2135,3,0.7875
bonds,bo,588.47,2227,2,0.2405
road,road,365.27,248,4,0.9151
construction,co,4975.83,9717,2,0.4661
work,wor,2330.89,2135,3,0.7875
department,de,1405.16,3728,2,0.3431
fund,f,367.70,10372,1,0.0511
bonds,bo,588.47,2227,2,0.2405
time,time,2865.93,1816,4,0.9806
portion,p,1293.57,19454,1,0.0959
ones,ones,178.70,113,4,0.9826
tax,t,480.78,11860,1,0.0585
authorities,a,424.71,11147,1,0.0550
race,r,353.73,10173,1,0.0502
governor,govern,719.99,370,6,1.0000
battle,ba,506.46,2066,2,0.2231
issuance,issu,317.06,197,4,1.0000
$50,$50,22.42,29,3,0.5577
worth,wor,2330.89,2135,3,0.7875
roads,road,365.27,248,4,0.9151
bonds,bo,588.47,2227,2,0.2405
source,s,1671.65,22115,1,0.1091
plans,pla,2111.36,1754,3,0.8683
roads,road,365.27,248,4,0.9151
bonds,bo,588.47,2227,2,0.2405
resolution,re,3892.93,6004,2,0.5902
action,acti,750.67,602,4,0.7748
$10,$1,58.92,167,2,0.3212
day,day,799.54,1022,3,0.5643
increase,in,3186.16,4317,2,0.6718
expense,expe,751.81,697,4,0.6702
allowances,a,424.71,11147,1,0.0550
night,night,815.25,455,5,1.0000
research,re,3892.93,6004,2,0.5902
quickie,qu,962.38,876,2,1.0000
vote,vo,153.84,645,2,0.2171
increase,in,3186.16,4317,2,0.6718
notice,not,129.94,243,3,0.3857
reconsideration,re,3892.93,6004,2,0.5902
action,acti,750.67,602,4,0.7748
details,de,1405.16,3728,2,0.3431
resolution,re,3892.93,6004,2,0.5902
privilege,pr,1651.62,5408,2,0.2780
resolution,re,3892.93,6004,2,0.5902
resolution,re,3892.93,6004,2,0.5902
vote,vo,153.84,645,2,0.2171
night,night,815.25,455,5,1.0000
word,wor,2330.89,2135,3,0.7875
resolution,re,3892.93,6004,2,0.5902
action,acti,750.67,602,4,0.7748
voters,vo,153.84,645,2,0.2171
amendment,a,424.71,11147,1,0.0550
legislators,le,379.75,1596,2,0.2166
pay,p,1293.57,19454,1,0.0959
raises,r,353.73,10173,1,0.0502
sessions,s,1671.65,22115,1,0.1091
legislator,le,379.75,1596,2,0.2166
aid,a,424.71,11147,1,0.0550
education,education,396.04,172,9,1.0000
past,p,1293.57,19454,1,0.0959
privilege,pr,1651.62,5408,2,0.2780
resolution,re,3892.93,6004,2,0.5902
support,s,1671.65,22115,1,0.1091
education,education,396.04,172,9,1.0000
funds,f,367.70,10372,1,0.0511
state,s,1671.65,22115,1,0.1091
funds,f,367.70,10372,1,0.0511
year,year,2550.98,1590,4,0.9969
legislator,le,379.75,1596,2,0.2166
members,member,990.47,509,6,1.0000
delegation,de,1405.16,3728,2,0.3431
resolution,re,3892.93,6004,2,0.5902
congressmen,co,4975.83,9717,2,0.4661
resolution,re,3892.93,6004,2,0.5902
