Sentence,Unigram_Add-One,Unigram_Add-K,Unigram_Token-Type,Bigram_Add-One,Bigram_Add-K,Bigram_Token-Type,Trigram_Add-One,Trigram_Add-K,Trigram_Token-Type,Quadrigram_Add-One,Quadrigram_Add-K,Quadrigram_Token-Type
"<s> नामांकन दाखिल करने के बाद समाचार एजेंसी एएनआई से अमित शाह ने कहा, ''इस सीट से ही मैंने बूथ कार्यकर्ता से लेकर संसद तक का सफर तय किया है. </s>",-283.49447581381077,-283.40713386082194,-451.11296004819957,-468.91408553187574,-468.87507490123767,-519.8122284042004,-629.0879455637892,-624.0162553508335,-686.2280117866056,-674.2537018272309,-670.7453684368935,-701.4941651328621
<s> इनमें एक उनका नाम भी है. </s>,-67.85278595812241,-67.83063439075679,-117.67978775778288,-126.94981060540503,-126.93872831021856,-137.26661281043397,-148.32188918263347,-147.81289103846524,-154.27908429300388,-138.15510557964274,-138.15510557964274,-138.15510557964274
<s> फ़िल्म एक ढर्रे पर चल रही होती है तभी एक घंटे और  20वें मिनट पर एंट्री होती है दूसरे हीरो की यानी आधी फ़िल्म निकल जाने के बाद. </s>,-256.6772399116133,-256.5930628840057,-422.3981227120316,-532.0090808323894,-531.9863068171753,-562.6096468431568,-708.6215210904048,-706.5977032091779,-727.640497483525,-732.5488866937914,-732.0548688093822,-735.7269389014197
<s> मर्दाना ट्रोल समाज असल में दीपिका की बात से डर गया. </s>,-116.92715917005262,-116.89634498867528,-182.95157014368678,-233.66559825938683,-233.6512667678195,-247.32515592279933,-286.86174669230684,-286.35474240810674,-292.4342020998606,-276.3102111592855,-276.3102111592855,-276.3102111592855
"<s> जिन छात्रों को खाने की चीज़ों या किसी और चीज़ की ज़रूरत महसूस हो रही है, वह उन्हें मुहैया कराई जा रही है. </s>",-220.25702778554682,-220.18643776725145,-357.9324898832314,-417.91161727388607,-417.88008540665516,-452.5440848917405,-536.7151524876981,-533.6740253278613,-566.4713104805434,-593.3377305133714,-592.8327208628214,-597.5718319695118
"<s> "" “कुछ समय पहले जब मैं समरकंद में
राष्ट्रपति पुतिन से मिला था तो मीडिया के सामने मैंने उनसे कहा कि यह युद्ध का समय
नहीं है. </s>",-239.39718102499918,-239.34620615998472,-410.076919775496,-445.9425422561485,-445.9053637671338,-492.7263392780057,-642.4793031547401,-639.4395894681516,-676.9949748466539,-703.9850474372079,-703.4808026676899,-708.0959166736285
<s> घरेलू हिंसा के दायरे को समझना और उससे घरों को बचाना ज़रूरी है. </s>,-131.97744251107773,-131.93462281875483,-209.3410400585679,-232.34247950149896,-232.325743339694,-246.49391290441298,-312.228053657288,-310.7163252917376,-324.68224243190446,-331.57225339114257,-331.57225339114257,-331.57225339114257
"<s> "" वे दावा करते हैं, ""इसी बीच यहां के स्थानीय लोग, जिनसे यहां रहते हुए हमारे संपर्क बन गए हों, वो लोग आए और फिर हमलावरों को भगाया. </s>",-315.2863130935672,-315.2078636110367,-469.1151866643236,-567.5153130454288,-567.4970913137648,-590.772203459005,-742.6546890924334,-741.648560530954,-750.6545721489828,-746.0375701300708,-746.0375701300708,-746.0375701300708
"<s> "" इस खदान की सुरक्षा के लिए इंडोनेशिया के सैन्य बलों को तैनात किया गया है और हाल ही में जब बीबीसी की टीम ने इसका दौरा किया तो सैन्य बलों की बढ़ी हुई तादाद स्पष्ट नज़र आई. </s>",-299.451346210309,-299.3300395838535,-537.6699533788162,-603.0375693126524,-602.9733315412469,-683.7162360875084,-814.003676468659,-807.4205424989354,-900.3813342478652,-897.5585465036788,-893.5093935659796,-939.8626427825816
"<s> यानी छात्रों के पास परीक्षा देने के लिए कंप्यूटर बेस्ड टेस्ट या फिर पेन-पेपर मोड दोनों का ही
विकल्प मौजूद था. </s>",-203.75708329194651,-203.69143851022343,-331.19366242015496,-403.5747624861842,-403.55349304219106,-438.9146666260782,-496.27497929340365,-493.77446731650065,-522.7154791087544,-537.6848231147376,-537.177929533731,-542.3097887459948
