Sentence,Add-One,Add-K,Token-Type
उसे  तत्काल  ट्रेन  के  शौचालय  में  बंद  कर  दिया  गया  और  रायगंज  स्टेशन  पर  उसे  उतार  कर  सीधे  अपने  घर  ले  गई ।,9.40066741669443e-71,1.0071573810596644e-70,2.6600263271187812e-136
ऐसे  ही  एक  कार्यक्रम  का  एक  वीडियो  सोशल  मीडिया  में  सामने  आया  है ।,6.091512786653663e-38,6.362869870418639e-38,2.1687210268211737e-82
आरबीजीडी  की  टीम  ने  टास  जीत  कर  पहले  खेलते  हुए  निर्धारित  20 ओवर  में  174 रन  का  लक्ष्य  रखा ।,6.903271651996333e-70,6.105505797101643e-70,7.225951779469926e-119
इससे  आम  आदमी  की  गाढ़ी  कमाई  को  फर्जी  और  योग्य  कंपनियों  के  नाम  पर  लुटाया  जा  रहा  है ।,1.2166925925201129e-61,1.2696515732084593e-61,9.723638990164815e-112
विधि  शिक्षा  एवं  विधि  सहायता  केन्द्र  सेंटर  ऑफ  लीगल  एजुकेशन  एण्ड  लीगल  एड  क्लिनिक  द्वारा  विधिक  जागरूकता  में  प्रेस - मीडिया  की  भूमिका  पर  विचार  विमर्श  करने  के  लिए  एक  दिवसीय  कार्यशाला  का  आयोजन  किया  गया ।,1.3915489922418827e-131,1.5565009530606733e-131,1.1593172502988838e-220
गैंजेज  क्लब  में  मना  जश्न  गैंजेज  क्लब  में  लोहड़ी  सेलेब्रेशन  एंड  म्यूजिकल  नाइट  का  आयोजन  किया  गया ।,1.6277408465677772e-75,1.28638293001453e-75,3.269452590633853e-107
बबीता  खोसला  तथा  डा .,7.019644884463997e-21,7.112907404319267e-21,1.0207728697978103e-30
सीएम  उद्धव  ठाकरे  ने  कहा  कि  15 दिन  तक  केवल  जरूरी  सेवाएं  जारी  रहेंगी ।,2.0904108681268798e-50,2.1893940446926416e-50,5.626558006355386e-90
"जो  मरीज  होश  में  दिखे , आसपास  का  हाल  देखकर  उनके  होश  उडे  हुए  हैं ।",8.66431871885132e-65,8.621045339274023e-65,2.0423579805968307e-101
"रायपुर , ब्यूरो  छत्तीसगढ़) ।",4.505780438467901e-28,4.558481377096433e-28,3.0040305328878257e-36
आयुसीमा  न्यूनतम  21 और  अधिकतम  30 वर्ष ।,1.689732196591343e-29,1.7252490434180414e-29,3.9593571629093863e-48
"पूर्ण  मैराथन  के  विजेताओं  को  दो - दो  लाख  रुपए , दूसरे  स्थान  को  एक  एक  लाख  रुपए  और  तीसरे  स्थान  को  50 - 50 हजार  रुपए  की  पुरस्कार  राशि  दी  जाएगी ।",6.824198679468531e-110,7.533003498275862e-110,1.130976698804197e-201
वशिष्ठ  नारायण  सिंह  बचपन  से  ही  होनहार  व  विलक्षण  प्रतिभा  के  धनी  थे ।,5.046770434677079e-51,5.256210133286898e-51,2.5079382892890675e-83
